READ SERR 1
@dist_0.pco
!
1.00578973E-2 5.78972722E-5 0.999687195
1.0174362E-2 5.85676898E-5 0.999694705
1.02921762E-2 5.92458709E-5 0.999702096
1.04113538E-2 5.99319064E-5 0.999646604
1.05319116E-2 6.06258873E-5 0.999590576
1.06538655E-2 6.13278971E-5 0.999595881
1.07772313E-2 6.20380451E-5 0.999601007
1.09020257E-2 6.27564077E-5 0.999606073
1.10282646E-2 6.3483094E-5 0.99961102
1.11559667E-2 6.42181985E-5 0.999615848
1.12851467E-2 6.49618087E-5 0.998952389
1.14158224E-2 6.57140263E-5 0.998369634
1.15480116E-2 6.64749605E-5 0.998377681
1.16817309E-2 6.72447059E-5 0.998385966
1.18169989E-2 6.80233643E-5 0.998394549
1.19538335E-2 6.88110376E-5 0.99840337
1.20922523E-2 6.96078278E-5 0.99841243
1.22322738E-2 7.04138511E-5 0.998421729
1.23739168E-2 7.12292021E-5 0.998431206
1.25171999E-2 7.20539974E-5 0.998440862
1.26621425E-2 7.2888346E-5 0.998450696
1.28087634E-2 7.37323498E-5 0.99846071
1.29570812E-2 7.45861325E-5 0.998466432
1.31071173E-2 7.54498033E-5 0.998472512
1.32588912E-2 7.63234711E-5 0.998483419
1.34124216E-2 7.72072526E-5 0.998494387
1.35677299E-2 7.81012714E-5 0.45827499
1.37248375E-2 7.90056365E-5 0.215350956
1.3883763E-2 7.9920479E-5 0.225595236
1.40445298E-2 8.08459154E-5 0.236004144
1.42071573E-2 8.17820692E-5 0.246565819
1.43716689E-2 8.27290642E-5 0.257268161
1.45380851E-2 8.36870167E-5 0.26803866
1.47064282E-2 8.46560652E-5 0.278919637
1.48767205E-2 8.56363404E-5 0.289963871
1.50489844E-2 8.66279588E-5 0.301099598
1.52232433E-2 8.7631066E-5 0.31231451
1.53995203E-2 8.86457856E-5 0.319058299
1.55778388E-2 8.96722559E-5 0.318436712
1.5758222E-2 9.0710615E-5 0.316149414
1.59406923E-2 9.17609941E-5 0.315954238
1.61252767E-2 9.28235313E-5 0.317693681
1.63119994E-2 9.38983794E-5 0.321217328
1.65008828E-2 9.49856694E-5 0.326387614
1.66919548E-2 9.60855541E-5 0.333063573
1.68852378E-2 9.71981717E-5 0.341089994
1.70807596E-2 9.8323675E-5 0.350285679
1.72785465E-2 9.94622096E-5 0.36043188
1.74786225E-2 1.00613928E-4 0.371260107
1.76810157E-2 1.01778984E-4 0.382440746
1.7885752E-2 1.02957529E-4 0.393573225
1.80928595E-2 1.04149716E-4 0.380169898
1.83023643E-2 1.05355713E-4 0.367582887
1.8514296E-2 1.06575673E-4 0.378582567
1.87286809E-2 1.07809763E-4 0.389598161
1.89455487E-2 1.09058143E-4 0.400620192
1.91649273E-2 1.1032098E-4 0.411639392
1.93868484E-2 1.11598434E-4 0.422646642
1.96113363E-2 1.12890681E-4 0.433633149
1.98384244E-2 1.14197894E-4 0.4445903
2.00681426E-2 1.15520241E-4 0.455509812
2.03005224E-2 1.16857904E-4 0.466383636
2.05355901E-2 1.18211057E-4 0.477204025
2.0773381E-2 1.19579876E-4 0.487963498
2.10139267E-2 1.20964542E-4 0.498654932
2.12572552E-2 1.22365251E-4 0.509271502
2.15034038E-2 1.23782171E-4 0.519741178
2.17524003E-2 1.25215505E-4 0.530119598
2.20042821E-2 1.26665429E-4 0.540468991
2.22590789E-2 1.28132146E-4 0.550719261
2.2516828E-2 1.29615844E-4 0.560865283
2.27775592E-2 1.31116729E-4 0.57090199
2.30413117E-2 1.32634988E-4 0.580824912
2.33081169E-2 1.34170827E-4 0.590629756
2.35780124E-2 1.35724447E-4 0.600312471
2.38510333E-2 1.37296069E-4 0.60986948
2.41272151E-2 1.3888588E-4 0.619297326
2.44065952E-2 1.40494099E-4 0.628593028
2.46892106E-2 1.42120945E-4 0.569806337
2.49750968E-2 1.43766636E-4 0.517395794
