#size(cm)    nu(1/s)      Qabs         Qsca         g(cos)
1.000000e-07 2.997924e+11 1.371000e-07 2.530000e-21 0.000000e+00
1.000000e-07 3.175431e+11 1.538000e-07 3.185000e-21 0.000000e+00
1.000000e-07 3.363541e+11 1.726000e-07 4.010000e-21 0.000000e+00
1.000000e-07 3.563018e+11 1.936000e-07 5.048000e-21 0.000000e+00
1.000000e-07 3.774297e+11 2.173000e-07 6.355000e-21 0.000000e+00
1.000000e-07 3.997765e+11 2.438000e-07 8.000000e-21 0.000000e+00
1.000000e-07 4.234956e+11 2.736000e-07 1.007000e-20 0.000000e+00
1.000000e-07 4.485897e+11 3.070000e-07 1.268000e-20 0.000000e+00
1.000000e-07 4.751068e+11 3.445000e-07 1.596000e-20 0.000000e+00
1.000000e-07 5.032607e+11 3.866000e-07 2.010000e-20 0.000000e+00
1.000000e-07 5.331538e+11 4.338000e-07 2.530000e-20 0.000000e+00
1.000000e-07 5.646873e+11 4.869000e-07 3.186000e-20 0.000000e+00
1.000000e-07 5.981493e+11 5.464000e-07 4.011000e-20 0.000000e+00
1.000000e-07 6.335426e+11 6.132000e-07 5.049000e-20 0.000000e+00
1.000000e-07 6.711269e+11 6.883000e-07 6.357000e-20 0.000000e+00
1.000000e-07 7.109139e+11 7.726000e-07 8.003000e-20 0.000000e+00
1.000000e-07 7.530580e+11 8.671000e-07 1.008000e-19 0.000000e+00
1.000000e-07 7.977446e+11 9.732000e-07 1.269000e-19 0.000000e+00
1.000000e-07 8.449617e+11 1.092000e-06 1.597000e-19 0.000000e+00
1.000000e-07 8.949028e+11 1.226000e-06 2.011000e-19 0.000000e+00
1.000000e-07 9.481102e+11 1.377000e-06 2.532000e-19 0.000000e+00
1.000000e-07 1.004330e+12 1.546000e-06 3.187000e-19 0.000000e+00
1.000000e-07 1.063848e+12 1.736000e-06 4.013000e-19 0.000000e+00
1.000000e-07 1.126616e+12 1.949000e-06 5.054000e-19 0.000000e+00
1.000000e-07 1.193441e+12 2.189000e-06 6.363000e-19 0.000000e+00
1.000000e-07 1.264413e+12 2.459000e-06 8.012000e-19 0.000000e+00
1.000000e-07 1.338957e+12 2.763000e-06 1.009000e-18 0.000000e+00
1.000000e-07 1.418800e+12 3.104000e-06 1.270000e-18 0.000000e+00
1.000000e-07 1.502719e+12 3.489000e-06 1.599000e-18 0.000000e+00
1.000000e-07 1.591255e+12 3.920000e-06 2.014000e-18 0.000000e+00
1.000000e-07 1.686122e+12 4.405000e-06 2.536000e-18 0.000000e+00
1.000000e-07 1.785542e+12 4.952000e-06 3.194000e-18 0.000000e+00
