# KROME file, XRAY H rate
# Distance = 7 kpc
# Xray rate including primary H ionization in 1/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(rate), where rate is in units of 1/s
30, 30
16.0 0.0 -17.83785962175745
16.0 -0.1724138 -17.992068665311052
16.0 -0.34482759 -18.138743263219745
16.0 -0.51724136 -18.275491571931298
16.0 -0.68965518 -18.399749370601885
16.0 -0.86206895 -18.50916483535465
16.0 -1.0344827 -18.602095178488067
16.0 -1.2068965 -18.67803203878814
16.0 -1.3793104 -18.73774594384058
16.0 -1.5517242 -18.783069621943532
16.0 -1.7241379 -18.816438985037273
16.0 -1.8965517 -18.8404082929811
16.0 -2.0689654 -18.85730104152417
16.0 -2.2413793 -18.86903965976189
16.0 -2.4137931 -18.877114177854146
16.0 -2.5862069 -18.882628612647785
16.0 -2.7586207 -18.886375928920312
16.0 -2.9310346 -18.88891369331589
16.0 -3.1034484 -18.89062830605987
16.0 -3.275862 -18.891784929122586
16.0 -3.4482758 -18.892564318430562
16.0 -3.6206896 -18.893089134090904
16.0 -3.7931035 -18.89344236415953
16.0 -3.9655173 -18.89368004008506
16.0 -4.1379309 -18.89383994196224
16.0 -4.3103447 -18.893947520617154
16.0 -4.4827585 -18.89401991050996
16.0 -4.6551723 -18.8940686436413
16.0 -4.8275862 -18.894101480108034
16.0 -5.0 -18.894123641987136

16.344828 0.0 -17.837859632534343
16.344828 -0.1724138 -17.99206867811279
16.344828 -0.34482759 -18.138743278272617
16.344828 -0.51724136 -18.27549158940786
16.344828 -0.68965518 -18.399749390597496
16.344828 -0.86206895 -18.509164857889402
16.344828 -1.0344827 -18.602095203551897
16.344828 -1.2068965 -18.678032066429232
16.344828 -1.3793104 -18.737745974272002
16.344828 -1.5517242 -18.78306965563266
16.344828 -1.7241379 -18.816439022758132
16.344828 -1.8965517 -18.84040833583537
16.344828 -2.0689654 -18.8573010909512
16.344828 -2.2413793 -18.869039717557087
16.344828 -2.4137931 -18.877114246207125
16.344828 -2.5862069 -18.88262869420506
16.344828 -2.7586207 -18.886376026874057
16.344828 -2.9310346 -18.888913811520293
16.344828 -3.1034484 -18.890628449177548
16.344828 -3.275862 -18.891785102805457
16.344828 -3.4482758 -18.89256452954141
16.344828 -3.6206896 -18.893089390973458
16.344828 -3.7931035 -18.89344267696774
16.344828 -3.9655173 -18.893680421184047
16.344828 -4.1379309 -18.893840406416903
16.344828 -4.3103447 -18.893948086787844
16.344828 -4.4827585 -18.894020600777964
16.344828 -4.6551723 -18.89406948529362
16.344828 -4.8275862 -18.89410250641617
16.344828 -5.0 -18.894124893521976

16.689655 0.0 -17.837859656375066
16.689655 -0.1724138 -17.9920687064329
16.689655 -0.34482759 -18.138743311572703
16.689655 -0.51724136 -18.275491628069652
16.689655 -0.68965518 -18.39974943483195
16.689655 -0.86206895 -18.509164907740978
16.689655 -1.0344827 -18.602095258998315
16.689655 -1.2068965 -18.678032127577097
16.689655 -1.3793104 -18.737746041592658
16.689655 -1.5517242 -18.783069730160044
16.689655 -1.7241379 -18.816439106204545
16.689655 -1.8965517 -18.840408430637968
16.689655 -2.0689654 -18.857301200294106
16.689655 -2.2413793 -18.86903984541212
16.689655 -2.4137931 -18.877114397418183
16.689655 -2.5862069 -18.88262887462676
16.689655 -2.7586207 -18.88637624356816
16.689655 -2.9310346 -18.888914073013062
16.689655 -3.1034484 -18.89062876578365
16.689655 -3.275862 -18.891785487028102
16.689655 -3.4482758 -18.892564996562484
16.689655 -3.6206896 -18.893089959250986
16.689655 -3.7931035 -18.893443368964324
16.689655 -3.9655173 -18.89368126425383
16.689655 -4.1379309 -18.893841433886436
16.689655 -4.3103447 -18.893949339273878
16.689655 -4.4827585 -18.89402212779226
16.689655 -4.6551723 -18.89407134720029
16.689655 -4.8275862 -18.89410477681805
16.689655 -5.0 -18.894127662169346

17.034483 0.0 -17.837859709115968
17.034483 -0.1724138 -17.992068769083193
17.034483 -0.34482759 -18.138743385239824
17.034483 -0.51724136 -18.27549171359807
17.034483 -0.68965518 -18.39974953268834
17.034483 -0.86206895 -18.509165018023694
17.034483 -1.0344827 -18.60209538165808
