# KROME file, XRAY He rate
# Distance = 8 kpc
# Xray rate including primary He ionization in 1/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(rate), where rate is in units of 1/s
30, 30
16.0 0.0 -17.64758274857923
16.0 -0.1724138 -17.645095927321496
16.0 -0.34482759 -17.641423300656058
16.0 -0.51724136 -17.636017634304295
16.0 -0.68965518 -17.628099954441904
16.0 -0.86206895 -17.61658431509723
16.0 -1.0344827 -17.600002229750665
16.0 -1.2068965 -17.57645385457647
16.0 -1.3793104 -17.543633700055224
16.0 -1.5517242 -17.498992516988526
16.0 -1.7241379 -17.440077081786526
16.0 -1.8965517 -17.365010831001367
16.0 -2.0689654 -17.272960035406367
16.0 -2.2413793 -17.16436704069619
16.0 -2.4137931 -17.040824856395123
16.0 -2.5862069 -16.90466094764358
16.0 -2.7586207 -16.758439485597602
16.0 -2.9310346 -16.604567764014682
16.0 -3.1034484 -16.445080977206423
16.0 -3.275862 -16.281580138412316
16.0 -3.4482758 -16.115263222630052
16.0 -3.6206896 -15.946997228236905
16.0 -3.7931035 -15.777394485593128
16.0 -3.9655173 -15.606881007527427
16.0 -4.1379309 -15.435749751298022
16.0 -4.3103447 -15.264200251576984
16.0 -4.4827585 -15.092368519997683
16.0 -4.6551723 -14.920346504393482
16.0 -4.8275862 -14.748196213972209
16.0 -5.0 -14.575959737956836

16.344828 0.0 -17.647582851106343
16.344828 -0.1724138 -17.6450960122215
16.344828 -0.34482759 -17.641423371270875
16.344828 -0.51724136 -17.636017693400184
16.344828 -0.68965518 -17.628100004310987
16.344828 -0.86206895 -17.6165843576355
16.344828 -1.0344827 -17.60000226651383
16.344828 -1.2068965 -17.576453886815084
16.344828 -1.3793104 -17.543633728732825
16.344828 -1.5517242 -17.498992542791868
16.344828 -1.7241379 -17.440077105143455
16.344828 -1.8965517 -17.365010852123238
16.344828 -2.0689654 -17.27296005436071
16.344828 -2.2413793 -17.16436705749445
16.344828 -2.4137931 -17.040824871066906
16.344828 -2.5862069 -16.904660960276033
16.344828 -2.7586207 -16.75843949633901
16.344828 -2.9310346 -16.604567773056452
16.344828 -3.1034484 -16.445080984759155
16.344828 -3.275862 -16.281580144685744
16.344828 -3.4482758 -16.11526322781995
16.344828 -3.6206896 -15.94699723251834
16.344828 -3.7931035 -15.77739448911826
16.344828 -3.9655173 -15.606881010425992
16.344828 -4.1379309 -15.435749753679225
16.344828 -4.3103447 -15.264200253531966
