# KROME file, XRAY He rate
# Distance = 7 kpc
# Xray rate including primary He ionization in 1/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(rate), where rate is in units of 1/s
30, 30
16.0 0.0 -17.408770432335487
16.0 -0.1724138 -17.406406238198404
16.0 -0.34482759 -17.402913497020975
16.0 -0.51724136 -17.39776998365189
16.0 -0.68965518 -17.390230717519703
16.0 -0.86206895 -17.379253852007896
16.0 -1.0344827 -17.3634240273155
16.0 -1.2068965 -17.340897859932124
16.0 -1.3793104 -17.30941665857505
16.0 -1.5517242 -17.266447424640845
16.0 -1.7241379 -17.209499420645948
16.0 -1.8965517 -17.136592879583844
16.0 -2.0689654 -17.04673928745675
16.0 -2.2413793 -16.940215356999392
16.0 -2.4137931 -16.818484482200287
16.0 -2.5862069 -16.683807706000017
16.0 -2.7586207 -16.538744223069482
16.0 -2.9310346 -16.385737535499548
16.0 -3.1034484 -16.226877123054734
16.0 -3.275862 -16.063819682945823
16.0 -3.4482758 -15.897811630917174
16.0 -3.6206896 -15.729758381140707
16.0 -3.7931035 -15.560301044704143
16.0 -3.9655173 -15.389886422484235
16.0 -4.1379309 -15.218822132138655
16.0 -4.3103447 -15.047317884964311
16.0 -4.4827585 -14.875516682436356
16.0 -4.6551723 -14.703515239882988
16.0 -4.8275862 -14.531378802896047
16.0 -5.0 -14.359151650736488

16.344828 0.0 -17.40877055273786
16.344828 -0.1724138 -17.406406337930925
16.344828 -0.34482759 -17.402913580009738
16.344828 -0.51724136 -17.397770053148445
16.344828 -0.68965518 -17.39023077622047
16.344828 -0.86206895 -17.37925390214603
16.344828 -1.0344827 -17.363424070726598
16.344828 -1.2068965 -17.340897898095193
16.344828 -1.3793104 -17.30941669263255
16.344828 -1.5517242 -17.266447455407818
16.344828 -1.7241379 -17.209499448626527
16.344828 -1.8965517 -17.13659290501647
16.344828 -2.0689654 -17.0467393103978
16.344828 -2.2413793 -16.940215377429777
16.344828 -2.4137931 -16.818484500120192
16.344828 -2.5862069 -16.683807721482797
16.344828 -2.7586207 -16.538744236270148
16.344828 -2.9310346 -16.385737546633866
16.344828 -3.1034484 -16.226877132368983
16.344828 -3.275862 -16.06381969069039
16.344828 -3.4482758 -15.897811637328727
16.344828 -3.6206896 -15.729758386432577
16.344828 -3.7931035 -15.560301049062694
16.344828 -3.9655173 -15.389886426068905
16.344828 -4.1379309 -15.218822135083961
16.344828 -4.3103447 -15.047317887382682
16.344828 -4.4827585 -14.875516684421168
16.344828 -4.6551723 -14.703515241511473
16.344828 -4.8275862 -14.531378804231904
16.344828 -5.0 -14.359151651832146

16.689655 0.0 -17.408770819093
16.689655 -0.1724138 -17.40640655856005
16.689655 -0.34482759 -17.402913763598193
16.689655 -0.51724136 -17.397770206889323
