# KROME file, XRAY He rate
# Distance = 8 kpc
# Xray rate including primary He ionization in 1/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(rate), where rate is in units of 1/s
30, 30
16.0 0.0 -17.647666118939107
16.0 -0.1724138 -17.645166045180105
16.0 -0.34482759 -17.641481807113045
16.0 -0.51724136 -17.636065818397622
16.0 -0.68965518 -17.628138990135195
16.0 -0.86206895 -17.616615410113116
16.0 -1.0344827 -17.600026646150788
16.0 -1.2068965 -17.57647283223288
16.0 -1.3793104 -17.543648356046276
16.0 -1.5517242 -17.499003780599637
16.0 -1.7241379 -17.44008568419208
16.0 -1.8965517 -17.365017336113528
16.0 -2.0689654 -17.272964885787147
16.0 -2.2413793 -17.16437059634266
16.0 -2.4137931 -17.040827417022363
16.0 -2.5862069 -16.90466276141371
16.0 -2.7586207 -16.758440752311017
16.0 -2.9310346 -16.604568638714017
16.0 -3.1034484 -16.44508157599157
16.0 -3.275862 -16.28158054566593
16.0 -3.4482758 -16.115263498283593
16.0 -3.6206896 -15.946997414138465
16.0 -3.7931035 -15.777394610609692
16.0 -3.9655173 -15.60688109140119
16.0 -4.1379309 -15.43574980744952
16.0 -4.3103447 -15.264200289090677
16.0 -4.4827585 -15.092368545004332
16.0 -4.6551723 -14.920346521021239
16.0 -4.8275862 -14.748196224995931
16.0 -5.0 -14.57595974523903

16.344828 0.0 -17.647706786408502
16.344828 -0.1724138 -17.6452002482017
16.344828 -0.34482759 -17.641510346484093
16.344828 -0.51724136 -17.6360893232014
16.344828 -0.68965518 -17.628158033239902
16.344828 -0.86206895 -17.616630580719555
16.344828 -1.0344827 -17.600038559838715
16.344828 -1.2068965 -17.57648209367611
16.344828 -1.3793104 -17.543655509986007
16.344828 -1.5517242 -17.49900928016489
16.344828 -1.7241379 -17.44008988587203
16.344828 -1.8965517 -17.36502051480365
16.344828 -2.0689654 -17.272967257190064
16.344828 -2.2413793 -17.16437233590311
16.344828 -2.4137931 -17.040828670815294
16.344828 -2.5862069 -16.904663650413593
16.344828 -2.7586207 -16.758441373948273
16.344828 -2.9310346 -16.60456906862409
16.344828 -3.1034484 -16.44508187083922
16.344828 -3.275862 -16.28158074665848
16.344828 -3.4482758 -16.115263634706704
16.344828 -3.6206896 -15.946997506456732
16.344828 -3.7931035 -15.777394672952289
16.344828 -3.9655173 -15.606881133441409
16.344828 -4.1379309 -15.435749835771615
16.344828 -4.3103447 -15.264200308158498
16.344828 -4.4827585 -15.092368557836041
16.344828 -4.6551723 -14.920346529653768
16.344828 -4.8275862 -14.748196230802295
16.344828 -5.0 -14.575959749143944

16.689655 0.0 -17.64776726758128
16.689655 -0.1724138 -17.64525111604811
16.689655 -0.34482759 -17.641552791654995
16.689655 -0.51724136 -17.636124281065232
16.689655 -0.68965518 -17.628186355623214
16.689655 -0.86206895 -17.616653143788803
16.689655 -1.0344827 -17.600056279035606
16.689655 -1.2068965 -17.57649586825885
16.689655 -1.3793104 -17.543666150104475
16.689655 -1.5517242 -17.499017459734663
16.689655 -1.7241379 -17.44009613508888
16.689655 -1.8965517 -17.365025242516108
16.689655 -2.0689654 -17.272970784212777
16.689655 -2.2413793 -17.164374923176762
16.689655 -2.4137931 -17.040830535599348
16.689655 -2.5862069 -16.90466497263539
16.689655 -2.7586207 -16.758442298517718
16.689655 -2.9310346 -16.60456970803499
16.689655 -3.1034484 -16.445082309369944
16.689655 -3.275862 -16.281581045597267
16.689655 -3.4482758 -16.115263837610527
16.689655 -3.6206896 -15.94699764376285
16.689655 -3.7931035 -15.777394765675211
16.689655 -3.9655173 -15.60688119596835
16.689655 -4.1379309 -15.43574987789542
16.689655 -4.3103447 -15.264200336518305
16.689655 -4.4827585 -15.092368576920798
16.689655 -4.6551723 -14.920346542493037
16.689655 -4.8275862 -14.74819623943817
16.689655 -5.0 -14.575959754951771

17.034483 0.0 -17.647857212494102
17.034483 -0.1724138 -17.64532676595708
17.034483 -0.34482759 -17.64161591656885
17.034483 -0.51724136 -17.63617627155322
17.034483 -0.68965518 -17.628228478151616
17.034483 -0.86206895 -17.616686701131382
17.034483 -1.0344827 -17.600082632472123
17.034483 -1.2068965 -17.57651635508125
17.034483 -1.3793104 -17.543681975140277
17.034483 -1.5517242 -17.4990296252374
17.034483 -1.7241379 -17.440105429587664
17.034483 -1.8965517 -17.365032274077702
17.034483 -2.0689654 -17.27297602998045
17.034483 -2.2413793 -17.164378771247662
17.034483 -2.4137931 -17.040833309105157
17.034483 -2.5862069 -16.90466693918392
17.034483 -2.7586207 -16.758443673634982
17.034483 -2.9310346 -16.604570659034096
17.034483 -3.1034484 -16.44508296159879
17.034483 -3.275862 -16.28158149021029
17.034483 -3.4482758 -16.115264139390266
17.034483 -3.6206896 -15.946997847978825
17.034483 -3.7931035 -15.7773949035824
17.034483 -3.9655173 -15.606881288964928
17.034483 -4.1379309 -15.435749940546327
17.034483 -4.3103447 -15.264200378697963
17.034483 -4.4827585 -15.092368605305637
17.034483 -4.6551723 -14.920346561588932
17.034483 -4.8275862 -14.748196252282343
17.034483 -5.0 -14.575959763589774

17.379311 0.0 -17.647990965459826
17.379311 -0.1724138 -17.645439264810996
17.379311 -0.34482759 -17.641709791919123
17.379311 -0.51724136 -17.6362535902144
17.379311 -0.68965518 -17.628291122692882
17.379311 -0.86206895 -17.616736608356856
17.379311 -1.0344827 -17.60012182640337
17.379311 -1.2068965 -17.576546824244584
17.379311 -1.3793104 -17.5437055111986
17.379311 -1.5517242 -17.499047718676238
17.379311 -1.7241379 -17.440119253093215
17.379311 -1.8965517 -17.36504273197863
17.379311 -2.0689654 -17.272983831907535
17.379311 -2.2413793 -17.164384494405933
17.379311 -2.4137931 -17.040837434082075
17.379311 -2.5862069 -16.904669863988456
17.379311 -2.7586207 -16.75844571881565
17.379311 -2.9310346 -16.60457207343284
17.379311 -3.1034484 -16.445083931643186
17.379311 -3.275862 -16.281582151472467
17.379311 -3.4482758 -16.115264588219887
17.379311 -3.6206896 -15.946998151704209
17.379311 -3.7931035 -15.777395108688347
17.379311 -3.9655173 -15.606881427276427
17.379311 -4.1379309 -15.43575003372546
17.379311 -4.3103447 -15.264200441430715
17.379311 -4.4827585 -15.092368647521697
17.379311 -4.6551723 -14.920346589989782
17.379311 -4.8275862 -14.748196271385158
17.379311 -5.0 -14.57595977643686

17.724138 0.0 -17.648189843231066
17.724138 -0.1724138 -17.645606547138268
17.724138 -0.34482759 -17.64184938696782
17.724138 -0.51724136 -17.63636856884524
17.724138 -0.68965518 -17.62838428247993
17.724138 -0.86206895 -17.616810828055094
17.724138 -1.0344827 -17.600180114928882
17.724138 -1.2068965 -17.576592138124497
17.724138 -1.3793104 -17.543740514504904
17.724138 -1.5517242 -17.499074627794386
17.724138 -1.7241379 -17.440139811917096
17.724138 -1.8965517 -17.365058285379803
17.724138 -2.0689654 -17.27299543524392
17.724138 -2.2413793 -17.16439300611043
17.724138 -2.4137931 -17.040843568903643
17.724138 -2.5862069 -16.904674213864364
17.724138 -2.7586207 -16.75844876048044
17.724138 -2.9310346 -16.60457417697516
17.724138 -3.1034484 -16.445085374325775
17.724138 -3.275862 -16.28158313492342
17.724138 -3.4482758 -16.11526525573396
17.724138 -3.6206896 -15.946998603414439
17.724138 -3.7931035 -15.777395413728518
17.724138 -3.9655173 -15.606881632977725
17.724138 -4.1379309 -15.43575017230445
17.724138 -4.3103447 -15.264200534728868
17.724138 -4.4827585 -15.09236871030677
17.724138 -4.6551723 -14.92034663222843
17.724138 -4.8275862 -14.748196299795474
17.724138 -5.0 -14.575959795543458

18.068966 0.0 -17.648485514065964
18.068966 -0.1724138 -17.64585526143933
18.068966 -0.34482759 -17.64205694770839
18.068966 -0.51724136 -17.636539536393965
18.068966 -0.68965518 -17.628522812387843
18.068966 -0.86206895 -17.616921197754955
