# KROME file, XRAY He rate
# Distance = 1 kpc
# Xray rate including primary He ionization in 1/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(rate), where rate is in units of 1/s
30, 30
16.0 0.0 -16.45133032904841
16.0 -0.1724138 -16.27891652904841
16.0 -0.34482759 -16.10650273904841
16.0 -0.51724136 -15.93408896904841
16.0 -0.68965518 -15.76167514904841
16.0 -0.86206895 -15.589261379048411
16.0 -1.0344827 -15.41684762904841
16.0 -1.2068965 -15.244433829048411
16.0 -1.3793104 -15.07201992904841
16.0 -1.5517242 -14.89960612904841
16.0 -1.7241379 -14.72719242904841
16.0 -1.8965517 -14.55477862904841
16.0 -2.0689654 -14.38236492904841
16.0 -2.2413793 -14.20995102904841
16.0 -2.4137931 -14.03753722904841
16.0 -2.5862069 -13.86512342904841
16.0 -2.7586207 -13.69270962904841
16.0 -2.9310346 -13.52029572904841
16.0 -3.1034484 -13.34788192904841
16.0 -3.275862 -13.17546832904841
16.0 -3.4482758 -13.003054529048411
16.0 -3.6206896 -12.83064072904841
16.0 -3.7931035 -12.65822682904841
16.0 -3.9655173 -12.48581302904841
16.0 -4.1379309 -12.31339942904841
16.0 -4.3103447 -12.14098562904841
16.0 -4.4827585 -11.968571829048411
16.0 -4.6551723 -11.79615802904841
16.0 -4.8275862 -11.623744129048411
16.0 -5.0 -11.45133032904841

16.344828 0.0 -16.45133032904841
16.344828 -0.1724138 -16.27891652904841
16.344828 -0.34482759 -16.10650273904841
16.344828 -0.51724136 -15.93408896904841
16.344828 -0.68965518 -15.76167514904841
16.344828 -0.86206895 -15.589261379048411
16.344828 -1.0344827 -15.41684762904841
16.344828 -1.2068965 -15.244433829048411
16.344828 -1.3793104 -15.07201992904841
16.344828 -1.5517242 -14.89960612904841
16.344828 -1.7241379 -14.72719242904841
16.344828 -1.8965517 -14.55477862904841
16.344828 -2.0689654 -14.38236492904841
16.344828 -2.2413793 -14.20995102904841
16.344828 -2.4137931 -14.03753722904841
16.344828 -2.5862069 -13.86512342904841
16.344828 -2.7586207 -13.69270962904841
16.344828 -2.9310346 -13.52029572904841
16.344828 -3.1034484 -13.34788192904841
16.344828 -3.275862 -13.17546832904841
16.344828 -3.4482758 -13.003054529048411
16.344828 -3.6206896 -12.83064072904841
16.344828 -3.7931035 -12.65822682904841
16.344828 -3.9655173 -12.48581302904841
16.344828 -4.1379309 -12.31339942904841
16.344828 -4.3103447 -12.14098562904841
16.344828 -4.4827585 -11.968571829048411
16.344828 -4.6551723 -11.79615802904841
16.344828 -4.8275862 -11.623744129048411
16.344828 -5.0 -11.45133032904841

16.689655 0.0 -16.45133032904841
16.689655 -0.1724138 -16.27891652904841
16.689655 -0.34482759 -16.10650273904841
16.689655 -0.51724136 -15.93408896904841
16.689655 -0.68965518 -15.76167514904841
16.689655 -0.86206895 -15.589261379048411
16.689655 -1.0344827 -15.41684762904841
16.689655 -1.2068965 -15.244433829048411
16.689655 -1.3793104 -15.07201992904841
16.689655 -1.5517242 -14.89960612904841
16.689655 -1.7241379 -14.72719242904841
16.689655 -1.8965517 -14.55477862904841
16.689655 -2.0689654 -14.38236492904841
16.689655 -2.2413793 -14.20995102904841
16.689655 -2.4137931 -14.03753722904841
16.689655 -2.5862069 -13.86512342904841
16.689655 -2.7586207 -13.69270962904841
16.689655 -2.9310346 -13.52029572904841
16.689655 -3.1034484 -13.34788192904841
16.689655 -3.275862 -13.17546832904841
16.689655 -3.4482758 -13.003054529048411
16.689655 -3.6206896 -12.83064072904841
16.689655 -3.7931035 -12.65822682904841
