# KROME file, XRAY He rate
# Distance = 1 kpc
# Xray rate including primary He ionization in 1/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(rate), where rate is in units of 1/s
30, 30
16.0 0.0 -10.67205802064991
16.0 -0.1724138 -10.627862550795676
16.0 -0.34482759 -10.58711245230271
16.0 -0.51724136 -10.549190834088826
16.0 -0.68965518 -10.51418988339166
16.0 -0.86206895 -10.48276732352081
16.0 -1.0344827 -10.455715054905664
16.0 -1.2068965 -10.433508872440457
16.0 -1.3793104 -10.416098792958302
16.0 -1.5517242 -10.402979508045048
16.0 -1.7241379 -10.39340144233769
16.0 -1.8965517 -10.386572986187245
16.0 -2.0689654 -10.381786030226024
16.0 -2.2413793 -10.378466157205484
16.0 -2.4137931 -10.376174916292493
16.0 -2.5862069 -10.374589759141102
16.0 -2.7586207 -10.373477753190555
16.0 -2.9310346 -10.372670654507777
16.0 -3.1034484 -10.37204388068221
16.0 -3.275862 -10.371499358860605
16.0 -3.4482758 -10.370951168116374
16.0 -3.6206896 -10.370312497837965
16.0 -3.7931035 -10.369482260682553
16.0 -3.9655173 -10.368329544938637
16.0 -4.1379309 -10.366673797187559
16.0 -4.3103447 -10.364258262160691
16.0 -4.4827585 -10.360713885115596
16.0 -4.6551723 -10.3555108359959
16.0 -4.8275862 -10.347895980235139
16.0 -5.0 -10.336818220527322

16.344828 0.0 -10.798148051227669
16.344828 -0.1724138 -10.74261430232893
16.344828 -0.34482759 -10.69092215843235
16.344828 -0.51724136 -10.642203052118946
16.344828 -0.68965518 -10.596554896750357
16.344828 -0.86206895 -10.554908935601173
16.344828 -1.0344827 -10.518488200337574
16.344828 -1.2068965 -10.488168925897295
16.344828 -1.3793104 -10.464118923705621
16.344828 -1.5517242 -10.445830051545778
16.344828 -1.7241379 -10.432386969204199
16.344828 -1.8965517 -10.422756972261402
16.344828 -2.0689654 -10.415984827566794
16.344828 -2.2413793 -10.4112805287394
16.344828 -2.4137931 -10.408034131806701
16.344828 -2.5862069 -10.40579420321757
16.344828 -2.7586207 -10.40423433461724
