# KROME file, XRAY H rate
# Distance = 3 kpc
# Xray rate including primary H ionization in 1/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(rate), where rate is in units of 1/s
30, 30
16.0 0.0 -16.02325230342824
16.0 -0.1724138 -16.114827402525915
16.0 -0.34482759 -16.189399780772682
16.0 -0.51724136 -16.247837960636186
16.0 -0.68965518 -16.29204757217799
16.0 -0.86206895 -16.32450008870768
16.0 -1.0344827 -16.34775126780243
16.0 -1.2068965 -16.364103525777548
16.0 -1.3793104 -16.375447778573704
16.0 -1.5517242 -16.38324125384548
16.0 -1.7241379 -16.388558850663962
16.0 -1.8965517 -16.392170022562034
16.0 -2.0689654 -16.394614444825603
16.0 -2.2413793 -16.396265455698725
16.0 -2.4137931 -16.397378918624444
16.0 -2.5862069 -16.39812909718081
16.0 -2.7586207 -16.398634175309915
16.0 -2.9310346 -16.398974077469163
16.0 -3.1034484 -16.39920275049482
16.0 -3.275862 -16.399356560920744
16.0 -3.4482758 -16.399460002950196
16.0 -3.6206896 -16.3995295641266
16.0 -3.7931035 -16.399576338674116
16.0 -3.9655173 -16.399607789592114
16.0 -4.1379309 -16.399628936387163
16.0 -4.3103447 -16.399643154713296
16.0 -4.4827585 -16.399652714455307
16.0 -4.6551723 -16.39965914192599
16.0 -4.8275862 -16.399663463398046
16.0 -5.0 -16.39966636889951

16.344828 0.0 -16.023519574174415
16.344828 -0.1724138 -16.115107198938876
16.344828 -0.34482759 -16.189680050552894
16.344828 -0.51724136 -16.24810613516916
16.344828 -0.68965518 -16.2922934181455
16.344828 -0.86206895 -16.324717734023345
16.344828 -1.0344827 -16.3479395579435
16.344828 -1.2068965 -16.36426492005976
16.344828 -1.3793104 -16.375586669479283
16.344828 -1.5517242 -16.383362510503765
16.344828 -1.7241379 -16.388666921996727
16.344828 -1.8965517 -16.392268556643923
16.344828 -2.0689654 -16.394706238224998
16.344828 -2.2413793 -16.396352560492144
16.344828 -2.4137931 -16.397462797695816
16.344828 -2.5862069 -16.39821077347327
16.344828 -2.7586207 -16.398714354962745
16.344828 -2.9310346 -16.399053243730652
16.344828 -3.1034484 -16.399281232162444
16.344828 -3.275862 -16.399434580832907
16.344828 -3.4482758 -16.39953771173636
16.344828 -3.6206896 -16.39960706342768
16.344828 -3.7931035 -16.39965369699321
16.344828 -3.9655173 -16.399685053061777
16.344828 -4.1379309 -16.39970613605805
16.344828 -4.3103447 -16.399720311477186
16.344828 -4.4827585 -16.39972984236553
16.344828 -4.6551723 -16.399736250434263
16.344828 -4.8275862 -16.3997405588605
16.344828 -5.0 -16.399743455590276

16.689655 0.0 -16.023915665199297
16.689655 -0.1724138 -16.115522144718334
16.689655 -0.34482759 -16.190095940381887
16.689655 -0.51724136 -16.248504266930432
16.689655 -0.68965518 -16.292658541624974
16.689655 -0.86206895 -16.32504107322784
16.689655 -1.0344827 -16.34821935214125
16.689655 -1.2068965 -16.364504790055147
16.689655 -1.3793104 -16.37579312082858
16.689655 -1.5517242 -16.383542766503325
16.689655 -1.7241379 -16.388827587615683
16.689655 -1.8965517 -16.39241505022044
16.689655 -2.0689654 -16.394842714476177
16.689655 -2.2413793 -16.396482068588966
16.689655 -2.4137931 -16.397587511565675
16.689655 -2.5862069 -16.398332213375063
16.689655 -2.7586207 -16.398833570383182
16.689655 -2.9310346 -16.399170952911327
16.689655 -3.1034484 -16.399397923798308
16.689655 -3.275862 -16.399550586135543
16.689655 -3.4482758 -16.39965325459311
16.689655 -3.6206896 -16.399722294912955
16.689655 -3.7931035 -16.39976871892731
16.689655 -3.9655173 -16.39979993401451
16.689655 -4.1379309 -16.399820922182123
16.689655 -4.3103447 -16.3998350338255
16.689655 -4.4827585 -16.399844521826548
16.689655 -4.6551723 -16.399850901056734
16.689655 -4.8275862 -16.39985519009203
16.689655 -5.0 -16.399858073783793

17.034483 0.0 -16.024501640706777
17.034483 -0.1724138 -16.116136655169136
17.034483 -0.34482759 -16.190712381422163
17.034483 -0.51724136 -16.249094805019926
17.034483 -0.68965518 -16.293200429634776
17.034483 -0.86206895 -16.325521165667666
17.034483 -1.0344827 -16.34863493434634
17.034483 -1.2068965 -16.364861165791954
17.034483 -1.3793104 -16.376099905308045
17.034483 -1.5517242 -16.383810661858682
17.034483 -1.7241379 -16.389066391014207
17.034483 -1.8965517 -16.39263280383505
17.034483 -2.0689654 -16.395045587351454
17.034483 -2.2413793 -16.39667458934302
17.034483 -2.4137931 -16.39777290942716
17.034483 -2.5862069 -16.398512746829436
17.034483 -2.7586207 -16.39901079864967
17.034483 -2.9310346 -16.399345943129262
17.034483 -3.1034484 -16.399571402077022
17.034483 -3.275862 -16.399723044603842
17.034483 -3.4482758 -16.39982502591738
17.034483 -3.6206896 -16.3998936035715
17.034483 -3.7931035 -16.39993971621375
