# KROME file, XRAY He rate
# Distance = 3 kpc
# Xray rate including primary He ionization in 1/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(rate), where rate is in units of 1/s
30, 30
16.0 0.0 -14.93733646431411
16.0 -0.1724138 -14.937276898446394
16.0 -0.34482759 -14.937188618841038
16.0 -0.51724136 -14.937057551298448
16.0 -0.68965518 -14.936862816619685
16.0 -0.86206895 -14.936573430351041
16.0 -1.0344827 -14.936143428830869
16.0 -1.2068965 -14.935504692669758
16.0 -1.3793104 -14.934556428361892
16.0 -1.5517242 -14.933149863514961
16.0 -1.7241379 -14.931066210819687
16.0 -1.8965517 -14.927985467777786
16.0 -2.0689654 -14.923443375468741
16.0 -2.2413793 -14.916774352971126
16.0 -2.4137931 -14.907040840728692
16.0 -2.5862069 -14.892955608428586
16.0 -2.7586207 -14.872816250598763
16.0 -2.9310346 -14.844490015742355
16.0 -3.1034484 -14.805506693348335
16.0 -3.275862 -14.753316401385222
16.0 -3.4482758 -14.685718556299289
16.0 -3.6206896 -14.601360867555709
16.0 -3.7931035 -14.500102689744558
16.0 -3.9655173 -14.383055574380492
16.0 -4.1379309 -14.252277411829821
16.0 -4.3103447 -14.110283319829438
16.0 -4.4827585 -13.959589252654684
16.0 -4.6551723 -13.802413972519352
16.0 -4.8275862 -13.640554563352664
16.0 -5.0 -13.475383916333447

16.344828 0.0 -14.93733787808652
16.344828 -0.1724138 -14.937277864691154
16.344828 -0.34482759 -14.937189284190673
16.344828 -0.51724136 -14.937058014337191
16.344828 -0.68965518 -14.93686314362558
16.344828 -0.86206895 -14.936573665879651
16.344828 -1.0344827 -14.93614360283006
16.344828 -1.2068965 -14.93550482526204
16.344828 -1.3793104 -14.934556533057885
16.344828 -1.5517242 -14.933149949371208
16.344828 -1.7241379 -14.931066283885514
16.344828 -1.8965517 -14.927985532062795
16.344828 -2.0689654 -14.923443433586323
16.344828 -2.2413793 -14.916774406562496
16.344828 -2.4137931 -14.90704089073888
16.344828 -2.5862069 -14.892955655284998
16.344828 -2.7586207 -14.872816294332003
16.344828 -2.9310346 -14.84449005608435
16.344828 -3.1034484 -14.805506729839793
16.344828 -3.275862 -14.753316433513861
16.344828 -3.4482758 -14.685718583664062
16.344828 -3.6206896 -14.601360890015968
16.344828 -3.7931035 -14.500102707494612
16.344828 -3.9655173 -14.383055587917042
16.344828 -4.1379309 -14.252277421836638
16.344828 -4.3103447 -14.110283327040676
16.344828 -4.4827585 -13.959589257749393
16.344828 -4.6551723 -13.80241397606595
16.344828 -4.8275862 -13.640554565795327
16.344828 -5.0 -13.475383918003129

16.689655 0.0 -14.937341005623336
16.689655 -0.1724138 -14.937280002215683
16.689655 -0.34482759 -14.937190756078007
16.689655 -0.51724136 -14.937059038673196
16.689655 -0.68965518 -14.936863867029734
16.689655 -0.86206895 -14.93657418691753
16.689655 -1.0344827 -14.936143987752295
16.689655 -1.2068965 -14.935505118583682
16.689655 -1.3793104 -14.934556764667178
