,R1,R2,P1,P2
0,H,H,H2,
1,H,C,CH,
2,H,N,NH,
3,H,O,OH,
4,H,CH,CH2,
5,H,NH,NH2,
6,H,OH,H2O,
7,H,C2,C2H,
8,H,CN,HCN,
9,H,CO,HOC,
10,H,CO,HCO,
11,H,NO,HNO,
12,H,O2,O2H,
13,H,N2,N2H,
14,H,CH2,CH3,
15,H,NH2,NH3,
16,H,C2H,C2H2,
17,H,HOC,CHOH,
18,H,HCO,H2CO,
19,H,O2H,H2O2,
20,H,O3,O2,OH
21,H,C2N,HCCN,
22,H,N2H,N2H2,
23,H,CH3,CH4,
24,H,H2CO,HCO,H2
25,H,CHOH,CH2OH,
26,H,H2O2,H2O,OH
27,H,N2H2,N2H,H2
28,H,HCCN,CH2CN,
29,H,C2H2,C2H3,
30,H,C2H3,C2H4,
31,H,CH2OH,CH3OH,
32,H,CH2CN,CH3CN,
33,H,C2H4,C2H5,
34,H,C2H5,C2H6,
35,H2,OH,H2O,H
36,C,C,C2,
37,C,N,CN,
38,C,O,CO,
39,C,CH,C2H,
40,C,NH,HNC,
41,C,OH,HOC,
42,C,OH,CO,H
43,C,CN,C2N,
44,C,NO,OCN,
45,C,O2,CO,O
46,C,CH2,C2H2,
47,C,NH2,HNC,H
48,C,OCN,CO,CN
49,C,CH3,C2H3,
50,N,N,N2,
51,N,O,NO,
52,N,CH,HCN,
53,N,NH,N2H,
54,N,C2,C2N,
55,N,NH2,N2H2,
56,O,O,O2,
57,O,CH,HCO,
58,O,NH,HNO,
59,O,OH,O2H,
60,O,CN,OCN,
61,O,O2,O3,
62,O,CO,CO2,
63,O,HCO,CO2,H
64,O,CH2,H2CO,
65,O,CH3,CH2OH,
66,CH,CH,C2H2,
67,CH,OH,CHOH,
68,CH,HNO,NO,CH2
69,CH,CH3,C2H4,
70,OH,OH,H2O2,
71,OH,CH2,CH2OH,
