# KROME file, XRAY H rate
# Distance = 1 kpc
# Xray rate including primary H ionization in 1/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(rate), where rate is in units of 1/s
30, 30
16.0 0.0 -10.895546640880799
16.0 -0.1724138 -11.052313702859276
16.0 -0.34482759 -11.202526774609996
16.0 -0.51724136 -11.343934808119583
16.0 -0.68965518 -11.474004921233373
16.0 -0.86206895 -11.590228159493929
16.0 -1.0344827 -11.690582186553753
16.0 -1.2068965 -11.774015237392979
16.0 -1.3793104 -11.84073567991886
16.0 -1.5517242 -11.892151628077682
16.0 -1.7241379 -11.930494394795744
16.0 -1.8965517 -11.95831877236532
16.0 -2.0689654 -11.978081425440081
16.0 -2.2413793 -11.99189291545572
16.0 -2.4137931 -12.00143213679515
16.0 -2.5862069 -12.00796556528114
16.0 -2.7586207 -12.012414143711748
16.0 -2.9310346 -12.015430911156503
16.0 -3.1034484 -12.01747103705472
16.0 -3.275862 -12.018848093629188
16.0 -3.4482758 -12.019776400402787
16.0 -3.6206896 -12.02040165175719
16.0 -3.7931035 -12.020822537486808
16.0 -3.9655173 -12.02110574332045
16.0 -4.1379309 -12.021296256435388
16.0 -4.3103447 -12.021424392397654
16.0 -4.4827585 -12.021510564046446
16.0 -4.6551723 -12.021568509940883
16.0 -4.8275862 -12.021607473402788
16.0 -5.0 -12.021633671878087

16.344828 0.0 -10.895972361612408
16.344828 -0.1724138 -11.05260615594557
16.344828 -0.34482759 -11.202729569891371
16.344828 -0.51724136 -11.344077284159544
16.344828 -0.68965518 -11.474106809558538
16.344828 -0.86206895 -11.59030272837954
16.344828 -1.0344827 -11.690638358688295
16.344828 -1.2068965 -11.774059015417937
16.344828 -1.3793104 -11.840771104838288
16.344828 -1.5517242 -11.892181422551092
16.344828 -1.7241379 -11.93052039444562
16.344828 -1.8965517 -11.95834221513143
16.344828 -2.0689654 -11.978103146103106
16.344828 -2.2413793 -11.991913476714695
16.344828 -2.4137931 -12.001451917761818
16.344828 -2.5862069 -12.007984821249819
16.344828 -2.7586207 -12.012433046525658
16.344828 -2.9310346 -12.01544957644777
16.344828 -3.1034484 -12.017489542612347
16.344828 -3.275862 -12.018866491774487
16.344828 -3.4482758 -12.019794726322713
16.344828 -3.6206896 -12.02041992911372
16.344828 -3.7931035 -12.020840782190735
16.344828 -3.9655173 -12.021123966070117
16.344828 -4.1379309 -12.021314464424096
16.344828 -4.3103447 -12.021442590461866
16.344828 -4.4827585 -12.021528755437998
16.344828 -4.6551723 -12.021586696846136
16.344828 -4.8275862 -12.021625657291723
16.344828 -5.0 -12.02165185373904

16.689655 0.0 -10.896913145260777
16.689655 -0.1724138 -11.053252651018317
16.689655 -0.34482759 -11.203177967955932
16.689655 -0.51724136 -11.344392358374384
16.689655 -0.68965518 -11.474332150059256
16.689655 -0.86206895 -11.590467659245512
16.689655 -1.0344827 -11.690762605432894
16.689655 -1.2068965 -11.774155850688588
16.689655 -1.3793104 -11.840849464982746
16.689655 -1.5517242 -11.892247329026487
16.689655 -1.7241379 -11.930577907166594
16.689655 -1.8965517 -11.958394072202813
16.689655 -2.0689654 -11.978151193961546
16.689655 -2.2413793 -11.991958960006349
16.689655 -2.4137931 -12.001495675062149
16.689655 -2.5862069 -12.008027417261124
16.689655 -2.7586207 -12.012474861361307
16.689655 -2.9310346 -12.015490865884379
16.689655 -3.1034484 -12.017530478718506
16.689655 -3.275862 -12.01890719028466
16.689655 -3.4482758 -12.019835265070345
16.689655 -3.6206896 -12.020460360439076
16.689655 -3.7931035 -12.020881141288493
16.689655 -3.9655173 -12.021164276605024
16.689655 -4.1379309 -12.021354742307727
16.689655 -4.3103447 -12.0214828463925
16.689655 -4.4827585 -12.02156899660869
16.689655 -4.6551723 -12.021626928093118
16.689655 -4.8275862 -12.02166588186661
16.689655 -5.0 -12.021692073828024

17.034483 0.0 -10.898989486789322
17.034483 -0.1724138 -11.054680534086387
17.034483 -0.34482759 -11.204168812068772
17.034483 -0.51724136 -11.345088822129275
17.034483 -0.68965518 -11.474830370785632
17.034483 -0.86206895 -11.590832370883893
17.034483 -1.0344827 -11.691037379984554
17.034483 -1.2068965 -11.774370018654883
17.034483 -1.3793104 -11.841022779909917
17.034483 -1.5517242 -11.892393103719348
17.034483 -1.7241379 -11.930705118822592
17.034483 -1.8965517 -11.95850877578658
17.034483 -2.0689654 -11.978257472867279
17.034483 -2.2413793 -11.992059566876836
17.034483 -2.4137931 -12.001592464528676
17.034483 -2.5862069 -12.00812163826691
17.034483 -2.7586207 -12.012567354607182
17.034483 -2.9310346 -12.015582197078777
17.034483 -3.1034484 -12.01762102843248
17.034483 -3.275862 -12.018997214493739
17.034483 -3.4482758 -12.019924935922953
17.034483 -3.6206896 -12.020549793699182
17.034483 -3.7931035 -12.020970414798276
17.034483 -3.9655173 -12.021253442705259
17.034483 -4.1379309 -12.021443836191043
17.034483 -4.3103447 -12.02157189172096
17.034483 -4.4827585 -12.021658009291635
17.034483 -4.6551723 -12.021715918827159
17.034483 -4.8275862 -12.021754857843538
17.034483 -5.0 -12.021781039883193

17.379311 0.0 -10.903559035947385
17.379311 -0.1724138 -11.057828066231593
17.379311 -0.34482759 -11.206355345123162
17.379311 -0.51724136 -11.346626862103848
17.379311 -0.68965518 -11.475931162306912
17.379311 -0.86206895 -11.591638448691796
17.379311 -1.0344827 -11.691644816266223
17.379311 -1.2068965 -11.77484354470236
17.379311 -1.3793104 -11.84140601840107
17.379311 -1.5517242 -11.892715466372966
17.379311 -1.7241379 -11.930986444435932
17.379311 -1.8965517 -11.958762447853783
17.379311 -2.0689654 -11.978492518219369
17.379311 -2.2413793 -11.992282071088649
17.379311 -2.4137931 -12.001806528080378
17.379311 -2.5862069 -12.008330022606671
17.379311 -2.7586207 -12.012771918597004
17.379311 -2.9310346 -12.015784191570981
17.379311 -3.1034484 -12.017821294927469
17.379311 -3.275862 -12.019196318996826
17.379311 -3.4482758 -12.020123259085555
17.379311 -3.6206896 -12.020747591497383
17.379311 -3.7931035 -12.021167859356307
17.379311 -3.9655173 -12.021450649758972
17.379311 -4.1379309 -12.021640883558415
17.379311 -4.3103447 -12.021768831723607
17.379311 -4.4827585 -12.02185487710835
17.379311 -4.6551723 -12.021912738110336
17.379311 -4.8275862 -12.021951644495706
17.379311 -5.0 -12.021977804596311

17.724138 0.0 -10.913552769542113
17.724138 -0.1724138 -11.064736385571113
17.724138 -0.34482759 -11.21116597368315
17.724138 -0.51724136 -11.350016211061654
17.724138 -0.68965518 -11.47835959952295
17.724138 -0.86206895 -11.593418027135685
17.724138 -1.0344827 -11.69298651515984
17.724138 -1.2068965 -11.775889810995649
17.724138 -1.3793104 -11.84225298116992
17.724138 -1.5517242 -11.893427999424402
17.724138 -1.7241379 -11.931608334065436
17.724138 -1.8965517 -11.959323245377968
17.724138 -2.0689654 -11.97901216095885
17.724138 -2.2413793 -11.992774002675237
17.724138 -2.4137931 -12.00227980804858
17.724138 -2.5862069 -12.008790752585885
17.724138 -2.7586207 -12.013224206124036
17.724138 -2.9310346 -12.01623080076919
17.724138 -3.1034484 -12.018264085386761
17.724138 -3.275862 -12.019636541526415
17.724138 -3.4482758 -12.020561754893073
17.724138 -3.6206896 -12.02118492627299
17.724138 -3.7931035 -12.021604413485194
17.724138 -3.9655173 -12.021886679011997
17.724138 -4.1379309 -12.022076559910122
17.724138 -4.3103447 -12.022204270802805
17.724138 -4.4827585 -12.022290156658947
17.724138 -4.6551723 -12.022347910403333
17.724138 -4.8275862 -12.022386744675181
17.724138 -5.0 -12.022412856291153

18.068966 0.0 -10.935111874849477
18.068966 -0.1724138 -11.079755997188814
18.068966 -0.34482759 -11.221680245297565
18.068966 -0.51724136 -11.357450524695215
18.068966 -0.68965518 -11.483699026888084
18.068966 -0.86206895 -11.59733713862639
18.068966 -1.0344827 -11.695944517682014
18.068966 -1.2068965 -11.77819817316714
18.068966 -1.3793104 -11.844122543986957
18.068966 -1.5517242 -11.895001346916223
18.068966 -1.7241379 -11.932981837259
18.068966 -1.8965517 -11.960562006165588
18.068966 -2.0689654 -11.98016012929698
18.068966 -2.2413793 -11.993860826409778
18.068966 -2.4137931 -12.003325472298012
18.068966 -2.5862069 -12.009808719990334
18.068966 -2.7586207 -12.014223540728466
18.068966 -2.9310346 -12.017217602656963
18.068966 -3.1034484 -12.01924245868606
18.068966 -3.275862 -12.020609246890581
18.068966 -3.4482758 -12.021530648995345
18.068966 -3.6206896 -12.022151257699807
18.068966 -3.7931035 -12.02256902182949
18.068966 -3.9655173 -12.022850128820274
18.068966 -4.1379309 -12.023039230772739
18.068966 -4.3103447 -12.023166417942072
18.068966 -4.4827585 -12.023251951675942
18.068966 -4.6551723 -12.023309468673974
18.068966 -4.8275862 -12.02334814377182
18.068966 -5.0 -12.023374148369095

18.413794 0.0 -10.98026840157303
18.413794 -0.1724138 -11.111743726928069
18.413794 -0.34482759 -11.244330323494601
18.413794 -0.51724136 -11.373590792649171
18.413794 -0.68965518 -11.495352444394609
18.413794 -0.86206895 -11.60592118551145
18.413794 -1.0344827 -11.702439011530632
18.413794 -1.2068965 -11.78327453696821
18.413794 -1.3793104 -11.848238410808774
18.413794 -1.5517242 -11.89846762731841
18.413794 -1.7241379 -11.936009324903116
18.413794 -1.8965517 -11.963293396578605
18.413794 -2.0689654 -11.98269189070269
18.413794 -2.2413793 -11.996258095916396
18.413794 -2.4137931 -12.005632185582032
18.413794 -2.5862069 -12.012054486194844
18.413794 -2.7586207 -12.016428300627268
18.413794 -2.9310346 -12.01939477893242
18.413794 -3.1034484 -12.021401083269922
18.413794 -3.275862 -12.022755395665488
18.413794 -3.4482758 -12.023668408525943
18.413794 -3.6206896 -12.024283376250922
18.413794 -3.7931035 -12.02469734747878
18.413794 -3.9655173 -12.024975904246514
18.413794 -4.1379309 -12.025163291539544
18.413794 -4.3103447 -12.025289325855566
18.413794 -4.4827585 -12.0253740844737
18.413794 -4.6551723 -12.025431080328632
18.413794 -4.8275862 -12.025469405040882
18.413794 -5.0 -12.02549517406052

18.758621 0.0 -11.069355872565408
18.758621 -0.1724138 -11.176972778200206
18.758621 -0.34482759 -11.291629429814728
18.758621 -0.51724136 -11.407859712601502
18.758621 -0.68965518 -11.520378518458852
18.758621 -0.86206895 -11.624499295499081
18.758621 -1.0344827 -11.7165688711906
18.758621 -1.2068965 -11.794358304935953
