# KROME file, XRAY He rate
# Distance = 5 kpc
# Xray rate including primary He ionization in 1/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(rate), where rate is in units of 1/s
30, 30
16.0 0.0 -16.43915160096972
16.0 -0.1724138 -16.43570572233916
16.0 -0.34482759 -16.43063062036719
16.0 -0.51724136 -16.42319024764948
16.0 -0.68965518 -16.412354395102845
16.0 -0.86206895 -16.396721849163914
16.0 -1.0344827 -16.37446446723419
16.0 -1.2068965 -16.343336570565324
16.0 -1.3793104 -16.30081040237664
16.0 -1.5517242 -16.24438652952131
16.0 -1.7241379 -16.17205889805709
16.0 -1.8965517 -16.082797932530415
16.0 -2.0689654 -15.976835737849381
16.0 -2.2413793 -15.85559924932942
16.0 -2.4137931 -15.721330399954276
16.0 -2.5862069 -15.57658579147875
16.0 -2.7586207 -15.423818109270142
16.0 -2.9310346 -15.265130985323868
16.0 -3.1034484 -15.102196279444572
16.0 -3.275862 -14.936274140872076
16.0 -3.4482758 -14.768279982052405
16.0 -3.6206896 -14.598863152979302
16.0 -3.7931035 -14.428475914487217
16.0 -3.9655173 -14.257430046853528
16.0 -4.1379309 -14.085938584065229
16.0 -4.3103447 -13.914145873320356
16.0 -4.4827585 -13.742150153733052
16.0 -4.6551723 -13.570017670572083
16.0 -4.8275862 -13.39779301252346
16.0 -5.0 -13.225506492936363

16.344828 0.0 -16.439152005163507
16.344828 -0.1724138 -16.4357059984163
16.344828 -0.34482759 -16.430630810307285
16.344828 -0.51724136 -16.423190379677138
16.344828 -0.68965518 -16.412354488194723
16.344828 -0.86206895 -16.396721916079038
16.344828 -1.0344827 -16.374464516551292
16.344828 -1.2068965 -16.343336608052603
16.344828 -1.3793104 -16.300810431912637
16.344828 -1.5517242 -16.24438655371396
16.344828 -1.7241379 -16.172058918659804
16.344828 -1.8965517 -16.082797950721805
16.344828 -2.0689654 -15.976835754421426
16.344828 -2.2413793 -15.855599264814062
16.344828 -2.4137931 -15.721330414708685
16.344828 -2.5862069 -15.576585805742713
16.344828 -2.7586207 -15.423818123204642
16.344828 -2.9310346 -15.265130999037005
16.344828 -3.1034484 -15.102196293008953
16.344828 -3.275862 -14.936274154336479
16.344828 -3.4482758 -14.768279995449605
16.344828 -3.6206896 -14.598863166331329
16.344828 -3.7931035 -14.428475927808874
16.344828 -3.9655173 -14.257430060154768
16.344828 -4.1379309 -14.085938597352742
16.344828 -4.3103447 -13.914145886598643
16.344828 -4.4827585 -13.742150167005134
16.344828 -4.6551723 -13.570017683839993
16.344828 -4.8275862 -13.397793025788566
16.344828 -5.0 -13.225506506199585

16.689655 0.0 -16.439152899323194
16.689655 -0.1724138 -16.43570660915596
16.689655 -0.34482759 -16.430631230494164
16.689655 -0.51724136 -16.42319067174977
16.689655 -0.68965518 -16.412354694133345
16.689655 -0.86206895 -16.396722064109248
