# KROME file, XRAY H rate
# Distance = 3 kpc
# Xray rate including primary H ionization in 1/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(rate), where rate is in units of 1/s
30, 30
16.0 0.0 -15.209506945981095
16.0 -0.1724138 -15.368464339828916
16.0 -0.34482759 -15.521605976223096
16.0 -0.51724136 -15.666850687330472
16.0 -0.68965518 -15.801760165326575
16.0 -0.86206895 -15.923773826355905
16.0 -1.0344827 -16.030619684378
16.0 -1.2068965 -16.120813976947126
16.0 -1.3793104 -16.194054021657852
16.0 -1.5517242 -16.25130463139243
16.0 -1.7241379 -16.294530072544205
16.0 -1.8965517 -16.326215864650713
16.0 -2.0689654 -16.348897871782004
16.0 -2.2413793 -16.364842205310822
16.0 -2.4137931 -16.37590096691726
16.0 -2.5862069 -16.383497696296622
16.0 -2.7586207 -16.388680990241628
16.0 -2.9310346 -16.392201011595525
16.0 -3.1034484 -16.394583787727
16.0 -3.275862 -16.396193193004915
16.0 -3.4482758 -16.397278617915898
16.0 -3.6206896 -16.398009915955896
16.0 -3.7931035 -16.39850228719713
16.0 -3.9655173 -16.398833639847453
16.0 -4.1379309 -16.399056562079043
16.0 -4.3103447 -16.39920650522826
16.0 -4.4827585 -16.39930734647853
16.0 -4.6551723 -16.39937515882138
16.0 -4.8275862 -16.399420757458255
16.0 -5.0 -16.399451417721867

16.344828 0.0 -15.209514028634779
16.344828 -0.1724138 -15.368469184800814
16.344828 -0.34482759 -15.521609316577472
16.344828 -0.51724136 -15.666853015910677
16.344828 -0.68965518 -15.801761813459578
16.344828 -0.86206895 -15.923775016780926
16.344828 -1.0344827 -16.030620566842025
16.344828 -1.2068965 -16.12081465214394
16.344828 -1.3793104 -16.194054557321422
16.344828 -1.5517242 -16.251305073107677
16.344828 -1.7241379 -16.29453045100351
16.344828 -1.8965517 -16.3262162005249
16.344828 -2.0689654 -16.348898178993103
16.344828 -2.2413793 -16.364842493233876
16.344828 -2.4137931 -16.375901241863776
16.344828 -2.5862069 -16.383497962514372
16.344828 -2.7586207 -16.388681250588732
16.344828 -2.9310346 -16.392201267994647
16.344828 -3.1034484 -16.39458404147132
16.344828 -3.275862 -16.39619344496412
16.344828 -3.4482758 -16.39727886867481
16.344828 -3.6206896 -16.39801016590777
16.344828 -3.7931035 -16.398502536606383
16.344828 -3.9655173 -16.398833888891875
16.344828 -4.1379309 -16.399056810878175
16.344828 -4.3103447 -16.39920675386247
16.344828 -4.4827585 -16.399307595001858
16.344828 -4.6551723 -16.399375407270153
16.344828 -4.8275862 -16.399421005856908
16.344828 -5.0 -16.39945166608682

16.689655 0.0 -15.20952969636031
16.689655 -0.1724138 -15.368479902617846
16.689655 -0.34482759 -15.52161670600965
16.689655 -0.51724136 -15.666858167153757
16.689655 -0.68965518 -15.801765459442732
16.689655 -0.86206895 -15.923777650233465
16.689655 -1.0344827 -16.03062251902789
16.689655 -1.2068965 -16.120816145815162
16.689655 -1.3793104 -16.194055742317897
16.689655 -1.5517242 -16.25130605027188
16.689655 -1.7241379 -16.294531288232946
16.689655 -1.8965517 -16.32621694354751
16.689655 -2.0689654 -16.34889885860718
16.689655 -2.2413793 -16.364843130178908
16.689655 -2.4137931 -16.37590185010206
16.689655 -2.5862069 -16.38349855144287
16.689655 -2.7586207 -16.38868182653016
16.689655 -2.9310346 -16.392201835202336
16.689655 -3.1034484 -16.39458460280605
16.689655 -3.275862 -16.396194002349812
16.689655 -3.4482758 -16.39727942340522
16.689655 -3.6206896 -16.398010718852845
16.689655 -3.7931035 -16.398503088351074
16.689655 -3.9655173 -16.398834439829482
16.689655 -4.1379309 -16.399057361273144
16.689655 -4.3103447 -16.399207303892602
16.689655 -4.4827585 -16.39930814478669
16.689655 -4.6551723 -16.399375956890065
16.689655 -4.8275862 -16.399421555365937
16.689655 -5.0 -16.399452215521297

17.034483 0.0 -15.209564353992057
17.034483 -0.1724138 -15.368503611474535
17.034483 -0.34482759 -15.521633052441494
17.034483 -0.51724136 -15.666869562540606
17.034483 -0.68965518 -15.801773525014031
17.034483 -0.86206895 -15.92378347593581
17.034483 -1.0344827 -16.030626837653127
17.034483 -1.2068965 -16.120819450122358
17.034483 -1.3793104 -16.19405836377748
17.034483 -1.5517242 -16.251308211965444
17.034483 -1.7241379 -16.294533140362613
17.034483 -1.8965517 -16.32621858727244
17.034483 -2.0689654 -16.348900362059368
17.034483 -2.2413793 -16.364844539238327
17.034483 -2.4137931 -16.375903195656193
17.034483 -2.5862069 -16.383499854279712
17.034483 -2.7586207 -16.3886831006369
17.034483 -2.9310346 -16.392203089988218
17.034483 -3.1034484 -16.394585844599714
17.034483 -3.275862 -16.39619523540738
17.034483 -3.4482758 -16.39728065058874
17.034483 -3.6206896 -16.39801194208683
17.034483 -3.7931035 -16.39850430892955
17.034483 -3.9655173 -16.398835658622527
17.034483 -4.1379309 -16.399058578865763
17.034483 -4.3103447 -16.39920852067812
17.034483 -4.4827585 -16.399309361029562
17.034483 -4.6551723 -16.399377172768094
17.034483 -4.8275862 -16.39942277099867
17.034483 -5.0 -16.39945343098911

17.379311 0.0 -15.209641010225154
17.379311 -0.1724138 -15.368556054084598
17.379311 -0.34482759 -15.521669211201456
17.379311 -0.51724136 -15.666894770110396
17.379311 -0.68965518 -15.801791367060565
17.379311 -0.86206895 -15.92379636326591
17.379311 -1.0344827 -16.03063639117777
17.379311 -1.2068965 -16.120826759844086
17.379311 -1.3793104 -16.194064162938307
17.379311 -1.5517242 -16.251312994049055
17.379311 -1.7241379 -16.294537237637748
17.379311 -1.8965517 -16.326222223519274
17.379311 -2.0689654 -16.34890368799741
17.379311 -2.2413793 -16.364847656362144
17.379311 -2.4137931 -16.37590617229448
17.379311 -2.5862069 -16.383502736419356
17.379311 -2.7586207 -16.38868591922014
17.379311 -2.9310346 -16.392205865830068
17.379311 -3.1034484 -16.39458859170032
17.379311 -3.275862 -16.39619796318208
17.379311 -3.4482758 -16.39728336536894
17.379311 -3.6206896 -16.39801464812991
17.379311 -3.7931035 -16.398507009098143
17.379311 -3.9655173 -16.398838354841406
17.379311 -4.1379309 -16.399061272429062
17.379311 -4.3103447 -16.39921121245596
17.379311 -4.4827585 -16.399312051606966
17.379311 -4.6551723 -16.3993798625384
17.379311 -4.8275862 -16.39942546022633
17.379311 -5.0 -16.399456119851926

17.724138 0.0 -15.209810521268277
17.724138 -0.1724138 -15.368672036013885
17.724138 -0.34482759 -15.521749186686383
17.724138 -0.51724136 -15.666950527114142
17.724138 -0.68965518 -15.801830833685711
17.724138 -0.86206895 -15.923824870797946
17.724138 -1.0344827 -16.03065752450727
17.724138 -1.2068965 -16.120842929853374
17.724138 -1.3793104 -16.19407699150176
17.724138 -1.5517242 -16.251323572750415
17.724138 -1.7241379 -16.294546301470415
17.724138 -1.8965517 -16.326230267502474
17.724138 -2.0689654 -16.34891104553785
17.724138 -2.2413793 -16.364854551977544
17.724138 -2.4137931 -16.375912757136497
17.724138 -2.5862069 -16.38350911221706
17.724138 -2.7586207 -16.388692154422014
17.724138 -2.9310346 -16.392212006481834
17.724138 -3.1034484 -16.394594668772303
17.724138 -3.275862 -16.39620399750235
17.724138 -3.4482758 -16.397289370943472
17.724138 -3.6206896 -16.39802063437666
17.724138 -3.7931035 -16.398512982349676
17.724138 -3.9655173 -16.39884431935559
17.724138 -4.1379309 -16.399067231068727
17.724138 -4.3103447 -16.399217167145927
17.724138 -4.4827585 -16.39931800364139
17.724138 -4.6551723 -16.399385812787397
17.724138 -4.8275862 -16.399431409274918
17.724138 -5.0 -16.399462068093438

18.068966 0.0 -15.210185182121908
18.068966 -0.1724138 -15.36892845690443
18.068966 -0.34482759 -15.521926035644624
18.068966 -0.51724136 -15.667073837756314
18.068966 -0.68965518 -15.801918124480194
18.068966 -0.86206895 -15.923887926326808
18.068966 -1.0344827 -16.03070427092654
18.068966 -1.2068965 -16.120878698461485
18.068966 -1.3793104 -16.194105369216974
18.068966 -1.5517242 -16.251346973883436
18.068966 -1.7241379 -16.294566351723347
18.068966 -1.8965517 -16.326248061824664
18.068966 -2.0689654 -16.348927321419065
18.068966 -2.2413793 -16.36486980605448
18.068966 -2.4137931 -16.37592732376236
18.068966 -2.5862069 -16.38352321642196
18.068966 -2.7586207 -16.388705947618323
18.068966 -2.9310346 -16.392225590525904
18.068966 -3.1034484 -16.394608112172794
18.068966 -3.275862 -16.396217346332577
18.068966 -3.4482758 -16.397302656185772
18.068966 -3.6206896 -16.398033876864304
18.068966 -3.7931035 -16.398526196090817
