# KROME file, XRAY He rate
# Distance = 3 kpc
# Xray rate including primary He ionization in 1/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(rate), where rate is in units of 1/s
30, 30
16.0 0.0 -14.930032830674735
16.0 -0.1724138 -14.926455613640057
16.0 -0.34482759 -14.921190397832225
16.0 -0.51724136 -14.913476340581843
16.0 -0.68965518 -14.902251086787144
16.0 -0.86206895 -14.886074576870085
16.0 -1.0344827 -14.863077064098169
16.0 -1.2068965 -14.830977733897637
16.0 -1.3793104 -14.787235250665173
16.0 -1.5517242 -14.729375336659354
16.0 -1.7241379 -14.655465323962922
16.0 -1.8965517 -14.564588018796671
16.0 -2.0689654 -14.457097736509828
16.0 -2.2413793 -14.3345187082026
16.0 -2.4137931 -14.199144227020328
16.0 -2.5862069 -14.053536588238625
16.0 -2.7586207 -13.900122994882915
16.0 -2.9310346 -13.740967516381744
16.0 -3.1034484 -13.5777009418201
16.0 -3.275862 -13.411547468470022
16.0 -3.4482758 -13.243393889430465
16.0 -3.6206896 -13.073868064004042
16.0 -3.7931035 -12.903406706363487
16.0 -3.9655173 -12.732310621965697
16.0 -4.1379309 -12.56078522147056
16.0 -4.3103447 -12.388969613434616
16.0 -4.4827585 -12.216958462981127
16.0 -4.6551723 -12.044815588685147
16.0 -4.8275862 -11.872583936867958
16.0 -5.0 -11.700292711758708

16.344828 0.0 -14.930039904489755
16.344828 -0.1724138 -14.926460449969396
16.344828 -0.34482759 -14.921193729816718
16.344828 -0.51724136 -14.91347866116086
16.344828 -0.68965518 -14.90225272739957
16.344828 -0.86206895 -14.88607576037308
16.344828 -1.0344827 -14.863077940346676
16.344828 -1.2068965 -14.830978403665306
16.344828 -1.3793104 -14.787235781724059
16.344828 -1.5517242 -14.729375774586087
16.344828 -1.7241379 -14.655465699399414
16.344828 -1.8965517 -14.564588352330793
16.344828 -2.0689654 -14.457098041960565
16.344828 -2.2413793 -14.33451899483512
16.344828 -2.4137931 -14.199144501041264
16.344828 -2.5862069 -14.053536853804168
16.344828 -2.7586207 -13.900123254776625
16.344828 -2.9310346 -13.74096777246883
16.344828 -3.1034484 -13.577701195351212
16.344828 -3.275862 -13.411547720284284
16.344828 -3.4482758 -13.24339414009119
16.344828 -3.6206896 -13.073868313889564
16.344828 -3.7931035 -12.903406955727975
16.344828 -3.9655173 -12.732310870979951
16.344828 -4.1379309 -12.560785470249375
16.344828 -4.3103447 -12.388969862055152
16.344828 -4.4827585 -12.216958711495254
16.344828 -4.6551723 -12.044815837127732
16.344828 -4.8275862 -11.872584185262447
16.344828 -5.0 -11.70029296012086

16.689655 0.0 -14.930055552663058
16.689655 -0.1724138 -14.926471148667781
16.689655 -0.34482759 -14.921201100733308
16.689655 -0.51724136 -14.913483794703861
16.689655 -0.68965518 -14.902256356745783
16.689655 -0.86206895 -14.886078378512748
16.689655 -1.0344827 -14.863079878782582
16.689655 -1.2068965 -14.830979885326162
16.689655 -1.3793104 -14.787236956534036
16.689655 -1.5517242 -14.729376743369327
16.689655 -1.7241379 -14.655466529941773
16.689655 -1.8965517 -14.564589090176696
16.689655 -2.0689654 -14.457098717680363
16.689655 -2.2413793 -14.334519628925221
16.689655 -2.4137931 -14.199145107231988
16.689655 -2.5862069 -14.053537441289844
16.689655 -2.7586207 -13.900123829715062
16.689655 -2.9310346 -13.740968338986233
16.689655 -3.1034484 -13.577701756214285
16.689655 -3.275862 -13.411548277349336
