# KROME file, XRAY H rate
# Distance = 1 kpc
# Xray rate including primary H ionization in 1/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(rate), where rate is in units of 1/s
30, 30
16.0 0.0 -10.572999789546556
16.0 -0.1724138 -10.729482723741821
16.0 -0.34482759 -10.879326385462404
16.0 -0.51724136 -11.020259793809158
16.0 -0.68965518 -11.14974107162416
16.0 -0.86206895 -11.265271221416409
16.0 -1.0344827 -11.364861465972457
16.0 -1.2068965 -11.447513059952259
16.0 -1.3793104 -11.513493015884507
16.0 -1.5517242 -11.564256835506303
16.0 -1.7241379 -11.602061384319063
16.0 -1.8965517 -11.629464884137096
16.0 -2.0689654 -11.648912099985491
16.0 -2.2413793 -11.662494624036002
16.0 -2.4137931 -11.671871480551275
16.0 -2.5862069 -11.678291669024267
16.0 -2.7586207 -11.682662181116566
16.0 -2.9310346 -11.68562556050892
16.0 -3.1034484 -11.687629375409914
16.0 -3.275862 -11.688981827848222
16.0 -3.4482758 -11.689893505169076
16.0 -3.6206896 -11.690507536270834
16.0 -3.7931035 -11.69092086020349
16.0 -3.9655173 -11.691198973805493
16.0 -4.1379309 -11.691386059534185
16.0 -4.3103447 -11.691511889464035
16.0 -4.4827585 -11.691596509926999
16.0 -4.6551723 -11.691653412560989
16.0 -4.8275862 -11.691691674446265
16.0 -5.0 -11.691717401156762

16.344828 0.0 -10.573525386312474
16.344828 -0.1724138 -10.729843800372988
16.344828 -0.34482759 -10.879576783500413
16.344828 -0.51724136 -11.020435734047156
16.344828 -0.68965518 -11.14986691396583
16.344828 -0.86206895 -11.265363346508597
16.344828 -1.0344827 -11.364930889519618
16.344828 -1.2068965 -11.447567192391649
16.344828 -1.3793104 -11.513536845422374
16.344828 -1.5517242 -11.564293722307674
16.344828 -1.7241379 -11.602093593156644
16.344828 -1.8965517 -11.629493941849011
16.344828 -2.0689654 -11.648939035812958
16.344828 -2.2413793 -11.66252013154478
16.344828 -2.4137931 -11.671896026904953
16.344828 -2.5862069 -11.678315568749907
16.344828 -2.7586207 -11.682685645897376
16.344828 -2.9310346 -11.68564873277027
16.344828 -3.1034484 -11.687652350958386
16.344828 -3.275862 -11.689004671120578
16.344828 -3.4482758 -11.68991625949861
16.344828 -3.6206896 -11.690530230796956
16.344828 -3.7931035 -11.690943514519814
16.344828 -3.9655173 -11.691221601086534
16.344828 -4.1379309 -11.691408668638086
16.344828 -4.3103447 -11.691534486346608
16.344828 -4.4827585 -11.691619098592662
16.344828 -4.6551723 -11.691675995702095
16.344828 -4.8275862 -11.691714253872997
16.344828 -5.0 -11.691739978086181

16.689655 0.0 -10.574686958113473
16.689655 -0.1724138 -10.730642030594089
16.689655 -0.34482759 -10.880130453166132
16.689655 -0.51724136 -11.020824820555664
16.689655 -0.68965518 -11.15014523685124
16.689655 -0.86206895 -11.265567110625694
16.689655 -1.0344827 -11.36508444847494
16.689655 -1.2068965 -11.447686932164146
16.689655 -1.3793104 -11.513633797273563
16.689655 -1.5517242 -11.564375317738929
16.689655 -1.7241379 -11.602164841320679
16.689655 -1.8965517 -11.62955821988219
16.689655 -2.0689654 -11.648998620298372
16.689655 -2.2413793 -11.662576556609004
16.689655 -2.4137931 -11.671950325897864
16.689655 -2.5862069 -11.678368437399817
16.689655 -2.7586207 -11.682737552446168
16.689655 -2.9310346 -11.685699992263025
16.689655 -3.1034484 -11.687703175319836
16.689655 -3.275862 -11.689055202885458
16.689655 -3.4482758 -11.689966594520673
16.689655 -3.6206896 -11.69058043353296
16.689655 -3.7931035 -11.690993628311121
16.689655 -3.9655173 -11.691271655075365
16.689655 -4.1379309 -11.69145868241879
16.689655 -4.3103447 -11.691584473093542
16.689655 -4.4827585 -11.691669067163655
16.689655 -4.6551723 -11.691725952052678
16.689655 -4.8275862 -11.691764202007324
16.689655 -5.0 -11.691789920696413

17.034483 0.0 -10.57725095288834
17.034483 -0.1724138 -10.732405219925962
17.034483 -0.34482759 -10.881354006636098
17.034483 -0.51724136 -11.021684930151125
17.034483 -0.68965518 -11.150760622757385
17.034483 -0.86206895 -11.26601770679893
17.034483 -1.0344827 -11.365424055013047
17.034483 -1.2068965 -11.44795176201541
17.034483 -1.3793104 -11.513848235971903
17.034483 -1.5517242 -11.564555796190259
17.034483 -1.7241379 -11.602322436002149
