E + GRAIN0 -> GRAIN-
C+ + GRAIN- -> C + GRAIN0
FE+ + GRAIN- -> FE + GRAIN0
H+ + GRAIN- -> H + GRAIN0
HE+ + GRAIN- -> HE + GRAIN0
MG+ + GRAIN- -> MG + GRAIN0
N+ + GRAIN- -> N + GRAIN0
NA+ + GRAIN- -> NA + GRAIN0
O+ + GRAIN- -> O + GRAIN0
S+ + GRAIN- -> S + GRAIN0
SI+ + GRAIN- -> SI + GRAIN0
H3+ + GRAIN- -> H2 + H + GRAIN0
HCO+ + GRAIN- -> H + CO + GRAIN0
C -> C+ + E
CL -> CL+ + E
FE -> FE+ + E
H -> H+ + E
HE -> HE+ + E
MG -> MG+ + E
N -> N+ + E
NA -> NA+ + E
O -> O+ + E
P -> P+ + E
S -> S+ + E
SI -> SI+ + E
C2 -> C + C
CCL -> C + CL
CH -> C + H
CLO -> CL + O
CN -> C + N
CO -> C + O
CO -> CO+ + E
CP -> C + P
CS -> C + S
H2 -> H + H
H2 -> H+ + H + E
H2 -> H+ + H-
H2 -> H2+ + E
HCL -> H + CL
HF -> F + H
HS -> H + S
MGH -> MG + H
N2 -> N + N
NAH -> NA + H
NH -> N + H
NO -> N + O
NO -> NO+ + E
NS -> N + S
O2 -> O + O
O2 -> O2+ + E
OH -> O + H
PH -> P + H
PN -> P + N
PO -> P + O
S2 -> S + S
SIC -> SI + C
SIH -> SI + H
SIN -> SI + N
SIO -> SI + O
SIS -> SI + S
SO -> S + O
C2H -> C2 + H
C2N -> C + CN
C2S -> CS + C
C3 -> C2 + C
CCO -> C2 + O
CCO -> CO + C
CCP -> C2 + P
CCP -> CP + C
CH2 -> CH2+ + E
CO2 -> CO + O
H2O -> OH + H
H2S -> H2 + S
H2S -> H2S+ + E
HCN -> CN + H
HCO -> CO + H
HCO -> HCO+ + E
HCP -> CP + H
HCS -> HCS+ + E
HCSI -> CH + SI
HNC -> CN + H
HNO -> HNO+ + E
HNSI -> SIN + H
HPO -> PO + H
HS2 -> HS + S
N2O -> NO + N
NAOH -> NA + OH
NH2 -> NH + H
NH2 -> NH2+ + E
NO2 -> NO + O
O2H -> O + OH
O2H -> O2 + H
OCN -> CN + O
OCS -> CO + S
OCS -> OCS+ + E
PH2 -> PH + H
SIC2 -> SIC + C
SIH2 -> SIH + H
SINC -> SI + CN
SIO2 -> SIO + O
SO2 -> SO + O
C2H2 -> C2H + H
C2H2 -> C2H2+ + E
C3H -> C3 + H
HC3 -> C3 + H
C3N -> C2 + CN
C3O -> C2 + CO
C3P -> CCP + C
C3S -> C2 + CS
C4 -> C3 + C
CH3 -> CH2 + H
CH3 -> CH3+ + E
H2CO -> CO + H2
H2CS -> H2 + CS
H2O2 -> OH + OH
H2S2 -> HS + HS
H2SIO -> SIO + H2
HCCP -> CCP + H
NH3 -> NH + H2
NH3 -> NH2 + H
NH3 -> NH3+ + E
SIC2H -> SIC2 + H
SIC3 -> SIC2 + C
SICH2 -> SIC + H2
SIH3 -> SIH2 + H
C2H2N -> CH2 + CN
C2H2O -> CH2 + CO
C2H2O -> C2H2O+ + E
C2H3 -> C2H2 + H
C3H2 -> C3H + H
H2C3 -> HC3 + H
C4H -> C4 + H
C4N -> C3 + CN
C4P -> C3P + C
C4S -> C3 + CS
C5 -> C4 + C
CH2O2 -> HCO + OH
CH2O2 -> CH2O2+ + E
CH2PH -> HCP + H2
CH3N -> HCN + H2
CH4 -> CH2 + H2
HC3N -> C2H + CN
SIC2H2 -> SIC2 + H2
SIC3H -> SIC3 + H
SIC4 -> SIC2 + C2
SICH3 -> SICH2 + H
SIH4 -> SIH2 + H2
C2H3N -> CH3 + CN
C2H3N -> C2H3N+ + E
C2H4 -> C2H2 + H2
C2H4 -> C2H4+ + E
C3H3 -> C3H2 + H
C3H3 -> H2C3 + H
C4H2 -> C2H + C2H
C4H2 -> C4H + H
C4H2 -> C4H2+ + E
C5H -> C5 + H
C5N -> C4 + CN
C6 -> C5 + C
CH3OH -> CH3 + OH
CH3OH -> H2CO + H2
CH3OH -> H3CO+ + H + E
CH3OH -> CH4O+ + E
C2H4O -> CH3 + HCO
C2H4O -> CH4 + CO
C2H4O -> C2H4O+ + E
C2H5 -> C2H4 + H
C3H3N -> C2H3 + CN
C3H4 -> C3H3 + H
C3H4 -> C3H4+ + E
C5H2 -> C5H + H
C6H -> C6 + H
C7 -> C6 + C
CH5N -> HCN + H2 + H + H
CH5N -> CH5N+ + E
HC5N -> C4H + CN
C6H2 -> C6H + H
C7H -> C7 + H
C7N -> C6 + CN
C8 -> C7 + C
CH3C3N -> CH3 + C3N
HCOOCH3 -> H2CO + H2CO
C2H5OH -> C2H5OH+ + E
C7H2 -> C7H + H
C8H -> C8 + H
C9 -> C8 + C
CH3C4H -> CH3 + C4H
CH3OCH3 -> H2CO + CH4
CH3OCH3 -> CH3OCH3+ + E
HC7N -> C6H + CN
C2H6CO -> C2H2O + CH4
C8H2 -> C8H + H
C9H -> C9 + H
C9N -> C8 + CN
CH3C5N -> CH3 + C5N
C9H2 -> C9H + H
CH3C6H -> CH3 + C6H
CH3C7N -> CH3 + C7N
HC9N -> C8H + CN
CH+ -> C + H+
C+ + FE -> FE+ + C
C+ + MG -> MG+ + C
C+ + NA -> NA+ + C
C+ + P -> P+ + C
C+ + S -> S+ + C
C+ + SI -> SI+ + C
C+ + CCL -> CCL+ + C
C+ + CH -> C2+ + H
C+ + CH -> CH+ + C
C+ + CLO -> CLO+ + C
C+ + CP -> CP+ + C
