#size(cm)    nu(1/s)      Qabs         Qsca         g(cos)       
1.000000e-07 2.997925e+11 2.403000e-07 4.131000e-21 0.000000e+00 
1.000000e-07 3.175431e+11 2.674000e-07 5.200000e-21 0.000000e+00 
1.000000e-07 3.363542e+11 2.978000e-07 6.546000e-21 0.000000e+00 
1.000000e-07 3.563019e+11 3.319000e-07 8.240000e-21 0.000000e+00 
1.000000e-07 3.774298e+11 3.701000e-07 1.037000e-20 0.000000e+00 
1.000000e-07 3.997766e+11 4.128000e-07 1.306000e-20 0.000000e+00 
1.000000e-07 4.234955e+11 4.608000e-07 1.644000e-20 0.000000e+00 
1.000000e-07 4.485896e+11 5.146000e-07 2.069000e-20 0.000000e+00 
1.000000e-07 4.751069e+11 5.748000e-07 2.604000e-20 0.000000e+00 
1.000000e-07 5.032608e+11 6.424000e-07 3.278000e-20 0.000000e+00 
1.000000e-07 5.331539e+11 7.180000e-07 4.126000e-20 0.000000e+00 
1.000000e-07 5.646872e+11 8.029000e-07 5.193000e-20 0.000000e+00 
1.000000e-07 5.981494e+11 8.979000e-07 6.536000e-20 0.000000e+00 
1.000000e-07 6.335428e+11 1.004000e-06 8.226000e-20 0.000000e+00 
1.000000e-07 6.711271e+11 1.124000e-06 1.035000e-19 0.000000e+00 
1.000000e-07 7.109141e+11 1.257000e-06 1.303000e-19 0.000000e+00 
1.000000e-07 7.530582e+11 1.407000e-06 1.640000e-19 0.000000e+00 
1.000000e-07 7.977447e+11 1.574000e-06 2.064000e-19 0.000000e+00 
1.000000e-07 8.449618e+11 1.762000e-06 2.597000e-19 0.000000e+00 
1.000000e-07 8.949029e+11 1.971000e-06 3.268000e-19 0.000000e+00 
1.000000e-07 9.481102e+11 2.206000e-06 4.111000e-19 0.000000e+00 
1.000000e-07 1.004330e+12 2.468000e-06 5.173000e-19 0.000000e+00 
1.000000e-07 1.063848e+12 2.761000e-06 6.508000e-19 0.000000e+00 
1.000000e-07 1.126616e+12 3.088000e-06 8.187000e-19 0.000000e+00 
1.000000e-07 1.193441e+12 3.454000e-06 1.030000e-18 0.000000e+00 
1.000000e-07 1.264414e+12 3.862000e-06 1.295000e-18 0.000000e+00 
1.000000e-07 1.338957e+12 4.317000e-06 1.629000e-18 0.000000e+00 
1.000000e-07 1.418800e+12 4.823000e-06 2.048000e-18 0.000000e+00 
1.000000e-07 1.502719e+12 5.387000e-06 2.575000e-18 0.000000e+00 
1.000000e-07 1.591255e+12 6.015000e-06 3.237000e-18 0.000000e+00 
1.000000e-07 1.686122e+12 6.713000e-06 4.069000e-18 0.000000e+00 
1.000000e-07 1.785542e+12 7.487000e-06 5.113000e-18 0.000000e+00 
1.000000e-07 1.891435e+12 8.345000e-06 6.425000e-18 0.000000e+00 
1.000000e-07 2.003960e+12 9.296000e-06 8.070000e-18 0.000000e+00 
1.000000e-07 2.121673e+12 1.035000e-05 1.013000e-17 0.000000e+00 
1.000000e-07 2.247320e+12 1.151000e-05 1.272000e-17 0.000000e+00 
1.000000e-07 2.381195e+12 1.278000e-05 1.597000e-17 0.000000e+00 
1.000000e-07 2.521383e+12 1.419000e-05 2.004000e-17 0.000000e+00 
1.000000e-07 2.671947e+12 1.573000e-05 2.513000e-17 0.000000e+00 
1.000000e-07 2.830901e+12 1.741000e-05 3.151000e-17 0.000000e+00 
1.000000e-07 2.997925e+12 1.925000e-05 3.948000e-17 0.000000e+00 
1.000000e-07 3.175431e+12 2.123000e-05 4.945000e-17 0.000000e+00 
1.000000e-07 3.363542e+12 2.337000e-05 6.190000e-17 0.000000e+00 
1.000000e-07 3.563019e+12 2.566000e-05 7.745000e-17 0.000000e+00 
1.000000e-07 3.774298e+12 2.810000e-05 9.685000e-17 0.000000e+00 
1.000000e-07 3.997766e+12 3.069000e-05 1.210000e-16 0.000000e+00 
1.000000e-07 4.234955e+12 3.341000e-05 1.512000e-16 0.000000e+00 
1.000000e-07 4.485896e+12 3.625000e-05 1.887000e-16 0.000000e+00 
1.000000e-07 4.751069e+12 3.918000e-05 2.354000e-16 0.000000e+00 
1.000000e-07 5.032608e+12 4.217000e-05 2.936000e-16 0.000000e+00 
1.000000e-07 5.331539e+12 4.520000e-05 3.659000e-16 0.000000e+00 
1.000000e-07 5.646872e+12 4.822000e-05 4.558000e-16 0.000000e+00 
1.000000e-07 5.981494e+12 5.118000e-05 5.676000e-16 0.000000e+00 
1.000000e-07 6.335428e+12 5.407000e-05 7.066000e-16 0.000000e+00 
1.000000e-07 6.711271e+12 5.680000e-05 8.796000e-16 0.000000e+00 
1.000000e-07 7.109141e+12 5.933000e-05 1.095000e-15 0.000000e+00 
1.000000e-07 7.530582e+12 6.161000e-05 1.363000e-15 0.000000e+00 
1.000000e-07 7.977447e+12 6.358000e-05 1.697000e-15 0.000000e+00 
1.000000e-07 8.449618e+12 6.524000e-05 2.114000e-15 0.000000e+00 
1.000000e-07 8.949029e+12 6.655000e-05 2.634000e-15 0.000000e+00 
1.000000e-07 9.481102e+12 6.749000e-05 3.286000e-15 0.000000e+00 
1.000000e-07 1.004330e+13 6.812000e-05 4.102000e-15 0.000000e+00 
1.000000e-07 1.063848e+13 6.850000e-05 5.125000e-15 0.000000e+00 
1.000000e-07 1.126616e+13 6.867000e-05 6.409000e-15 0.000000e+00 
1.000000e-07 1.193441e+13 6.866000e-05 8.020000e-15 0.000000e+00 
1.000000e-07 1.264414e+13 6.841000e-05 1.004000e-14 0.000000e+00 
1.000000e-07 1.338957e+13 6.799000e-05 1.259000e-14 0.000000e+00 
1.000000e-07 1.418800e+13 6.764000e-05 1.579000e-14 0.000000e+00 
1.000000e-07 1.502719e+13 6.734000e-05 1.982000e-14 0.000000e+00 
1.000000e-07 1.591255e+13 6.700000e-05 2.488000e-14 0.000000e+00 
1.000000e-07 1.686122e+13 6.676000e-05 3.126000e-14 0.000000e+00 
1.000000e-07 1.785542e+13 6.677000e-05 3.931000e-14 0.000000e+00 
1.000000e-07 1.891435e+13 6.708000e-05 4.944000e-14 0.000000e+00 
1.000000e-07 2.003960e+13 6.775000e-05 6.221000e-14 0.000000e+00 
1.000000e-07 2.121673e+13 6.893000e-05 7.830000e-14 0.000000e+00 
1.000000e-07 2.247320e+13 7.070000e-05 9.855000e-14 0.000000e+00 
1.000000e-07 2.381195e+13 7.296000e-05 1.241000e-13 0.000000e+00 
1.000000e-07 2.521383e+13 7.534000e-05 1.564000e-13 0.000000e+00 
1.000000e-07 2.671947e+13 8.007000e-05 1.957000e-13 0.000000e+00 
1.000000e-07 2.830901e+13 8.336000e-05 2.471000e-13 0.000000e+00 
1.000000e-07 2.997925e+13 8.836000e-05 3.109000e-13 0.000000e+00 
1.000000e-07 3.175431e+13 9.411000e-05 3.914000e-13 0.000000e+00 
1.000000e-07 3.363542e+13 1.010000e-04 4.925000e-13 0.000000e+00 
1.000000e-07 3.563019e+13 1.089000e-04 6.196000e-13 0.000000e+00 
1.000000e-07 3.774298e+13 1.178000e-04 7.792000e-13 0.000000e+00 
1.000000e-07 3.997766e+13 1.274000e-04 9.797000e-13 0.000000e+00 
1.000000e-07 4.234955e+13 1.385000e-04 1.232000e-12 0.000000e+00 
1.000000e-07 4.485896e+13 1.509000e-04 1.549000e-12 0.000000e+00 
1.000000e-07 4.751069e+13 1.624000e-04 1.946000e-12 0.000000e+00 
1.000000e-07 5.032608e+13 1.801000e-04 2.447000e-12 5.740000e-07 
1.000000e-07 5.331539e+13 1.971000e-04 3.074000e-12 6.400000e-07 
1.000000e-07 5.646872e+13 2.161000e-04 3.861000e-12 7.120000e-07 
1.000000e-07 5.981494e+13 2.367000e-04 4.848000e-12 7.940000e-07 
